"Country","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb"
"Italia",205.418372203713,70.438,29.562,0.228197851468404
"Jamaica",270.993074792244,55.674,44.326,1.01130784740472
"Japón",347.073458415624,91.616,8.384,-0.114218709913591
"Jordania",112.14249831043,90.979,9.021,2.04748515667235
"Kazajstán",6.76982572137645,57.428,42.572,1.47511306482708
"Kenya",90.2994166637383,27.03,72.97,4.05252270231374
"Kirguistán",32.9655891553702,36.351,63.649,2.58628057143274
"Kiribati",143.020987654321,54.057,45.943,2.94934929072126
"Kosovo",NA,NA,NA,NA
"Kuwait",232.172390572391,100,0,1.98246273293475
"Lesotho",69.437812911726,28.153,71.847,2.31004152441553
"Letonia",30.9934705693149,68.142,31.858,-0.680734206500191
"Líbano",669.494134897361,88.593,11.407,0.727747260731819
"Liberia",50.0309073920266,51.151,48.849,3.34403640334755
"Libia",3.79563238119054,80.102,19.898,1.83231214599096
"Liechtenstein",236.9375,14.338,85.662,0.460957762829909
"Lituania",44.7230757742448,67.679,32.321,-0.713094844211595
"Luxemburgo",250.185185185185,90.981,9.01900000000001,2.20836515702366
"Macedonia del Norte",82.5915146708961,57.963,42.037,0.417819582823749
"Madagascar",45.1398556204881,37.191,62.809,4.48480404056497
"Malasia",95.9628214883579,76.036,23.964,2.13016306751883
"Malawi",192.440761561307,16.937,83.063,3.96730609077091
"Maldivas",1718.98666666667,39.808,60.192,4.89404521465671
"Malí",15.635015858186,42.356,57.644,4.87623694042438
"Malta",1514.46875,94.612,5.38800000000001,3.56178437178253
"Mariana",123.65652173913,91.618,8.38200000000001,0.660347974014229
"Marruecos",80.7285189334528,62.453,37.547,2.12728534350062
"Mauricio",623.30197044335,40.793,59.207,-0.0631393851909479
"Mauritania",4.27216357815077,53.672,46.328,4.37299545808061
"México",64.9146264050001,80.156,19.844,1.48761995074654
"mezcla de la AIF",125.673773106878,42.2283515216553,57.7716484783447,3.43456487179279
"Micronesia (Estados Federados de)",160.914285714286,22.703,77.297,1.47327962209575
"Miembros OCDE",38.0102885902071,80.5989283162627,19.4010716837373,0.830724861027178
"Mónaco",NA,100,0,0.752527100059372
"Mongolia",2.04060866654651,68.445,31.555,1.91587989993137
"Montenegro",46.2622304832714,66.813,33.187,0.480793341517984
"Mozambique",37.508535313716,35.988,64.012,4.40559134724532
"Mundo",59.6178807531312,55.2704260392749,44.7295739607251,1.92878651799617
"Myanmar",82.2386154835549,30.579,69.421,1.45248102186842
"Namibia",2.97374558175127,50.032,49.968,3.95629680059715
"Nauru",635.2,100,0,-1.34482089317818
"Nepal",195.939107080572,19.74,80.26,3.72181839256581
"Nicaragua",53.7270483629716,58.522,41.478,1.63714154226712
"Níger",17.7176505881424,16.425,83.575,4.27453510164545
"Nigeria",215.064988965381,50.344,49.656,4.2388468031755
"No clasificado",NA,NA,NA,NA
"Noruega",14.5482916341657,82.248,17.752,1.11953281162056
"Nueva Caledonia",15.5393873085339,70.683,29.317,1.92038485260425
"Nueva Zelandia",18.3851733697923,86.538,13.462,1.0609382798863
"Omán",15.6041453957997,84.539,15.461,4.60993724709811
"Oriente Medio y Norte de África",39.9977120870057,65.3719859554066,34.6280140445934,2.2349599951105
"Oriente Medio y Norte de África (BIRF y la AIF)",43.8129297485221,61.4145429982845,38.5854570017155,2.20688628446415
"Oriente Medio y Norte de África (excluido altos ingresos)",44.3111694561864,61.5905475175283,38.4094524824717,2.21748638385668
"Otros Estados pequeos",15.1392178420061,62.1185434877544,37.8814565122456,2.84568850496383
"Países Bajos",511.475927574948,91.49,8.51,1.03637503912155
"Países de ingreso bajo",52.0668028036382,32.8944178848608,67.1055821151392,3.87309359427974
"Países de ingreso mediano bajo",131.060701635225,39.210048948767,60.789951051233,2.66579359200973
